Protein ID	WT1	KO1	WT2	KO2	WT3	KO3	WT4	KO4	WT5	KO5	WT6	MT...49	MT...50	MT...51	MT...52	MT...53
Q8R5I6	17482.8438	11258.084	21999.4004	13146.5098	14276.2031	12065.7344	17505.5176	11799.3418	19858.4434	8604.2617	15332.4863	0	0	0	0	0
Q8R5J9	26718.8496	31686.1445	32840.3242	31539.3672	23987.9688	35780.7891	25242.9961	24872.2305	29153.1035	34946.3516	21002.3574	0	0	0	0	0
Q8R5K4	6825.9487	5405.5859	9192.8105	5612.2646	7096.2017	5954.1226	6512.8262	5409.749	6950.5791	5794.6362	6224.2837	0	0	0	0	0
Q8R5M8	3612.5977	2529.2886	6026.7017	4481.4634	5660.0166	1637.464	3716.6045	3799.0056	3371.4314	1933.7601	3535.2815	0	0	0	0	0
Q8VBT0	22350.8462	19223.2663	27239.8935	25345.6596	20158.9558	17238.5974	22506.0484	18449.0566	20173.8286	15066.8733	16580.6411	0	0	0	0	0
Q8VBT6	1419.4193	1325.12	1616.5535	1463.4355	1036.6564	1803.4797	1747.6113	1009.3706	1317.3887	1144.9341	1256.5519	0	0	0	0	0
Q8VBT9	72324.8665	47337.9945	88834.3584	59830.5801	57819.928	43123.9736	71338.9382	51727.7094	71299.1954	36517.4222	55564.3413	457.3216	263.0549	0	0	0
Q8VBV3	14184.9995	10944.666099999999	16307.546900000001	13156.4566	10951.8418	13271.5322	12600.8828	10887.6899	12488.3115	9759.662100000001	10704.8613	287.3657	0	0	0	0
Q8VBV7	19068.4716	12486.2529	25878.034200000002	17345.7216	17142.3349	11950.420900000001	21610.2149	9865.6758	19494.9981	9906.7451	15063.3979	0	0	0	0	0
Q8VBW1	12278.4775	8937.9473	19683.9883	15322.2686	15171.3994	5174.0674	13528.6875	14084.165	12392.1768	6198.0034	10102.1904	0	0	0	0	0
Q8VBW6	39178.5857	29267.1129	50341.3965	38585.8595	35249.8283	36170.193999999996	39598.8047	32527.6188	38570.3972	26832.852000000003	33139.2607	905.7339	420.9851	0	0	0
Q8VBW8	19224.9023	8223.7256	26590.9512	14073.2646	16315.2227	3225.7131	20419.5859	11691.1377	20675.8613	5135.0884	16353.1953	0	0	0	0	0
Q8VBX6	10341.2205	7832.1783	11869.1242	8722.841999999999	7683.1438	6876.4448	8923.6351	7587.9833	9951.9944	6029.0164	6993.1194	0	254.1248	0	0	0
Q8VBZ3	21888.1904	14323.221	26270.3069	22205.346999999998	19501.0805	10403.923299999999	22334.5556	17406.332599999998	21720.484900000003	12507.7019	18150.0696	759.3702	0	0	0	0
Q8VC03	23519.4392	16985.497199999998	29457.3875	24370.7589	23928.2546	19011.4604	25539.870700000003	21140.9456	26048.4341	12845.2395	22054.9199	0	1471.8813	0	0	0
Q8VC12	52168.7485	25318.711600000002	78990.6235	50517.0644	50311.2452	24713.7358	64400.7812	24483.5841	66514.6318	20741.8301	58088.6918	770.1696	843.2873	0	0	0
Q8VC19	31643.7598	15935.872299999999	30004.0231	22646.5635	24397.6414	11648.8416	23716.2095	15925.4401	23332.3845	9014.1003	27424.4243	267.9867	700.5313	0	0	270.2826
Q8VC28	11122.3721	12581.9355	16291.6963	13526.1592	10032.2959	10738.4385	10490.0986	9138.0498	15268.2822	7683.7017	10542.2334	0	0	0	0	0
Q8VC30	216346.9029	132870.9744	260855.7281	194906.4649	187053.54750000002	121918.1922	215891.4851	153636.0465	194073.1297	103046.3921	177750.1792	913.0587	1472.1901	0	0	0
Q8VC31	27280.4277	23706.3941	38374.2491	31408.8184	25493.0498	27607.882400000002	26802.769	22931.8127	28783.827100000002	21116.8032	22750.1094	328.136	0	0	0	0
Q8VC42	4754.0034	4263.5806	4590.2388	4474.458	3458.9128	3498.5396	3388.1174	3141.7517	4003.9167	2933.1865	4066.1082	0	0	0	0	0
Q8VC52	26661.7094	15256.008300000001	30463.5672	22914.7849	24470.2884	10860.2605	25029.136	15724.9467	21027.2129	12664.273299999999	19337.147	0	0	0	0	0
Q8VC60	20556.9738	18298.2531	25037.3209	23419.175799999997	19478.4165	23515.3988	18402.3525	18861.6449	21175.4276	20350.0302	16190.3698	1238.9833	0	0	0	0
Q8VC69	80298.4717	42575.036100000005	108742.1895	97388.1845	129214.1445	28116.1713	141649.5898	79826.44630000001	91771.86429999999	30141.98	126210.5606	1251.15	2504.9563	0	0	0
Q8VC85	20315.5747	14826.7998	23335.2373	18155.4326	17521.7607	16078.7789	19158.605	17051.041	18408.4619	11948.110799999999	15984.626400000001	0	274.8193	0	0	0
Q8VC97	18148.6208	8761.0838	29277.0078	17636.1951	14590.7022	11591.171900000001	15682.8645	16456.697799999998	20966.495600000002	7403.0933000000005	17138.2461	0	0	0	0	0
Q8VCA0	38224.8223	16480.9519	52370.690500000004	39753.376000000004	11386.5044	9305.6406	30023.6689	21663.090799999998	35960.813500000004	11018.8288	27901.0025	0	0	0	0	0
Q8VCA8	25886.980900000002	15669.1477	32721.7598	18298.886300000002	24228.1036	13693.0057	27980.993	12392.5721	24249.8223	10767.6065	16965.4051	0	0	0	0	0
